month,active_sellers,gmv_proxy,top_1_pct_share,top_5_pct_share,top_10_pct_share
2016-09,3,267.36,0.5048249551166966,0.5048249551166966,0.5048249551166966
2016-10,143,50030.05,0.17283752464768673,0.3752003046169252,0.5260710313101826
2016-12,1,10.9,1.0,1.0,1.0
2017-01,227,120888.62999999999,0.1204686495330454,0.3663156741870596,0.5341910980379213
2017-02,427,249979.29,0.13740090229074575,0.35491908149671114,0.5050459580071613
2017-03,499,375254.76,0.1294431548316669,0.3540680469982579,0.5129996219101924
2017-04,506,362484.52999999997,0.17384140503871987,0.36483206607465424,0.5073671143979579
2017-05,583,511328.47000000003,0.1584358876007823,0.38223651031987327,0.5236660497312032
2017-06,539,437804.39,0.1673308712139684,0.407388902610136,0.5568970882178683
2017-07,606,511999.43000000005,0.18163424517874951,0.41397089055353053,0.5588040400748101
2017-08,708,584230.8900000001,0.1952276094131209,0.41320206468370746,0.5546762856034537
2017-09,731,635072.1699999999,0.23783904748967347,0.46917305477265675,0.601981063034143
2017-10,776,678752.9099999999,0.22008243029116442,0.45064783589657087,0.572959591436595
2017-11,965,1035477.8899999999,0.17607675814304447,0.446705752452136,0.5831170861600918
2017-12,861,755326.0599999999,0.19125095458774455,0.44102803761331894,0.5744607699620479
2018-01,970,974593.9999999999,0.15805499520826108,0.4087829393573119,0.5507793912131617
2018-02,947,854818.22,0.13271791282127796,0.3959459006383837,0.5521210579718341
2018-03,996,1004511.4500000001,0.1799264109931251,0.42526217097873803,0.5692254080329298
2018-04,1123,1027676.31,0.18575316774598025,0.4098278766394839,0.5540950924518246
2018-05,1115,1022887.29,0.19095019745528366,0.429976463975811,0.574168596815784
2018-06,1175,887750.31,0.1680792767056314,0.41537324836304484,0.5572400307018761
2018-07,1261,917111.54,0.16282102392910677,0.4235356148718835,0.5673713036039214
2018-08,1278,883770.5599999999,0.16152173025541827,0.39508116224192846,0.5435511225900079
2018-09,1,145.0,1.0,1.0,1.0

